Date;Bullish;Neutral
12-31-20;46,08%;27,12%
1-7-21;45,19%;23,08%
1-21-21;42,55%;22,98%
1-28-21;37,66%;24,03%
2-4-21;37,35%;27,06%
2-11-21;45,45%;28,28%
2-18-21;47,06%;27,55%
2-25-21;45,93%;30,29%
3-4-21;40,26%;34,42%
3-11-21;49,41%;27,06%
3-18-21;48,94%;27,46%
3-25-21;50,95%;28,48%
4-1-21;45,83%;30,95%
4-8-21;56,91%;22,70%
4-15-21;53,82%;21,59%
4-22-21;52,68%;26,81%
4-29-21;42,57%;31,76%
5-6-21;44,31%;32,55%
5-13-21;36,52%;36,52%
5-20-21;37,03%;36,71%
5-27-21;36,43%;37,14%
6-3-21;44,07%;36,17%
6-10-21;40,23%;39,10%
6-17-21;41,12%;32,71%
6-24-21;40,42%;36,25%
7-1-21;48,65%;29,19%
7-8-21;40,20%;35,29%
7-15-21;36,17%;37,02%
7-22-21;30,65%;38,71%
7-29-21;36,16%;39,73%
8-5-21;36,07%;32,24%
8-12-21;36,97%;31,51%
8-19-21;33,17%;31,73%
8-26-21;39,56%;27,47%
9-2-21;43,43%;23,23%
9-9-21;38,89%;33,89%
9-16-21;22,45%;38,27%
9-23-21;29,90%;30,93%
9-30-21;28,14%;31,14%
10-7-21;25,47%;37,74%
10-14-21;37,91%;30,33%
10-21-21;46,89%;25,36%
10-27-21;39,83%;30,74%
11-4-21;41,50%;32,50%
11-11-21;48,00%;28,00%
11-18-21;38,84%;33,93%
11-24-21;33,81%;30,48%
12-2-21;26,67%;30,95%
12-9-21;29,72%;39,76%
12-16-21;25,24%;35,44%
12-23-21;29,57%;36,56%
12-30-21;37,66%;31,80%
1-6-22;32,76%;33,91%
1-13-22;24,91%;36,80%
1-20-22;20,96%;32,31%
1-27-22;23,14%;23,92%
2-3-22;26,49%;29,85%
2-10-22;24,36%;40,17%
2-17-22;19,25%;37,56%
2-24-22;23,39%;22,94%
3-3-22;30,39%;28,18%
3-10-22;24,00%;30,22%
3-17-22;22,47%;27,75%
3-24-22;32,80%;31,75%
3-31-22;31,88%;40,58%
4-7-22;24,71%;33,91%
4-14-22;15,84%;35,75%
4-21-22;18,87%;37,26%
4-28-22;16,44%;24,20%
5-5-22;26,87%;20,26%
5-12-22;24,32%;26,64%
5-19-22;25,97%;23,64%
5-26-22;19,85%;26,65%
6-2-22;32,02%;30,92%
6-9-22;21,02%;32,10%
6-16-22;19,44%;22,22%
6-23-22;18,20%;22,46%
6-30-22;22,78%;30,52%
7-7-22;19,38%;27,81%
7-14-22;26,89%;26,59%
7-21-22;29,59%;28,22%
7-28-22;27,72%;32,18%
8-4-22;30,56%;30,56%
8-11-22;32,15%;31,19%
8-18-22;33,33%;29,51%
8-25-22;27,70%;29,92%
9-1-22;21,92%;27,67%
9-8-22;18,07%;28,66%
9-15-22;26,13%;27,87%
9-22-22;17,73%;21,40%
9-29-22;19,95%;19,24%
10-6-22;23,92%;21,33%
10-13-22;20,36%;23,71%
10-20-22;22,60%;21,19%
10-27-22;26,59%;27,75%
11-3-22;30,56%;36,54%
11-10-22;25,09%;27,87%
11-17-22;33,45%;26,33%
11-24-22;28,86%;30,90%
12-1-22;24,47%;35,11%
12-8-22;24,73%;33,45%
12-15-22;24,30%;31,08%
12-22-22;20,31%;27,38%
12-29-22;26,49%;25,89%
1-5-23;20,51%;37,50%
1-12-23;24,03%;36,04%
1-19-23;30,97%;35,96%
1-26-23;28,37%;34,96%
2-2-23;29,90%;35,55%
2-9-23;37,50%;37,50%
2-16-23;34,12%;37,06%
2-23-23;21,65%;39,76%
3-2-23;23,38%;31,82%
3-9-23;24,83%;33,45%
3-16-23;19,22%;32,38%
3-23-23;20,95%;30,17%
3-30-23;22,51%;31,87%
4-6-23;33,33%;31,65%
4-13-23;26,05%;39,46%
4-20-23;27,22%;37,66%
4-27-23;24,14%;37,36%
5-4-23;24,08%;31,02%
5-11-23;29,39%;29,39%
5-18-23;22,90%;37,37%
5-25-23;27,38%;32,92%
6-1-23;29,05%;34,12%
6-8-23;44,55%;31,15%
6-15-23;45,18%;32,12%
6-22-23;42,86%;29,39%
6-29-23;41,93%;30,60%
7-6-23;46,39%;29,12%
7-13-23;41,00%;33,14%
7-20-23;51,36%;27,15%
7-27-23;44,91%;30,98%
8-3-23;48,98%;29,70%
8-10-23;44,70%;29,80%
8-17-23;35,89%;33,97%
8-24-23;32,27%;31,81%
8-31-23;33,09%;32,37%
9-7-23;42,19%;28,22%
9-14-23;34,42%;36,36%
9-21-23;31,30%;34,10%
9-28-23;27,79%;31,27%
10-5-23;30,10%;28,32%
10-12-23;40,00%;23,51%
10-19-23;34,07%;31,32%
10-26-23;29,28%;27,54%
11-2-23;24,31%;25,41%
11-9-23;42,60%;30,18%
11-16-23;43,78%;28,11%
11-23-23;45,30%;31,05%
11-30-23;48,76%;31,68%
12-7-23;47,31%;25,27%
12-14-23;51,30%;29,39%
12-21-23;52,92%;26,18%
12-28-23;46,33%;28,61%
1-4-24;48,56%;27,94%
1-11-24;48,59%;27,25%
1-18-24;40,38%;32,86%
1-25-24;39,27%;34,63%
2-1-24;49,07%;26,40%
2-8-24;49,03%;28,41%
2-15-24;42,17%;31,06%
2-22-24;44,28%;29,52%
2-29-24;46,50%;32,17%
3-7-24;51,74%;26,50%
3-14-24;45,90%;32,22%
3-21-24;43,20%;29,61%
3-28-24;50,00%;27,55%
4-4-24;47,29%;30,49%
4-11-24;43,44%;32,51%
4-18-24;38,27%;27,76%
4-25-24;32,13%;33,93%
5-2-24;38,49%;29,02%
5-9-24;40,82%;35,37%
5-16-24;40,86%;35,88%
5-23-24;47,04%;26,64%
5-30-24;39,04%;34,25%
6-6-24;38,97%;29,04%
6-13-24;44,59%;29,73%
6-20-24;44,37%;33,12%
6-27-24;44,49%;27,17%
7-4-24;41,74%;32,17%
7-11-24;49,18%;29,10%
7-18-24;52,75%;23,81%
7-25-24;43,17%;25,09%
8-1-24;44,88%;29,92%
8-8-24;40,54%;22,01%
8-15-24;42,54%;28,57%
8-22-24;51,61%;24,73%
8-29-24;51,16%;21,86%
9-5-24;45,33%;29,76%
9-12-24;39,80%;29,25%
9-19-24;50,83%;22,77%
9-26-24;49,62%;26,69%
10-3-24;45,45%;27,27%
10-10-24;49,01%;30,43%
10-17-24;45,45%;29,17%
10-24-24;37,70%;32,38%
10-31-24;39,49%;29,61%
11-7-24;41,54%;30,88%
11-14-24;49,84%;21,81%
11-21-24;41,29%;25,48%
11-28-24;37,05%;24,30%
12-5-24;48,33%;21,00%
12-12-24;43,33%;25,00%
12-19-24;40,71%;27,86%
12-26-24;37,80%;28,05%
1-2-25;35,44%;30,38%
1-9-25;34,67%;27,96%
1-16-25;25,43%;34,00%
1-23-25;43,43%;27,14%
1-30-25;40,96%;25,00%
2-6-25;33,33%;23,81%
2-13-25;28,42%;24,32%
2-20-25;29,19%;30,35%
2-27-25;19,38%;20,00%
3-6-25;19,33%;23,56%
3-13-25;19,11%;21,66%
3-20-25;21,58%;20,30%
3-27-25;27,42%;20,43%
4-3-25;21,76%;16,32%
4-10-25;28,52%;12,55%
4-17-25;25,44%;17,71%
4-24-25;21,94%;22,51%
5-1-25;20,94%;19,76%
5-8-25;29,45%;19,02%
5-15-25;35,93%;19,66%
5-22-25;37,70%;25,57%
5-29-25;32,89%;25,25%
6-5-25;32,66%;25,93%
6-12-25;36,67%;29,74%
