Date,Open,High,Low,Close,Volume
2017-10-25,2566.5200195312,2567.3999023438,2544.0,2557.1499023438,3885470000.0
2017-10-26,2560.080078125,2567.0700683594,2559.8000488281,2560.3999023438,3891750000.0
2017-10-27,2570.2600097656,2582.9799804688,2565.9399414062,2581.0700683594,3896100000.0
2017-10-30,2577.75,2580.0300292969,2568.25,2572.830078125,3660230000.0
2017-10-31,2575.9899902344,2578.2900390625,2572.1499023438,2575.2600097656,3844420000.0
2017-11-01,2583.2099609375,2588.3999023438,2574.919921875,2579.3601074219,3841200000.0
2017-11-02,2579.4599609375,2581.1101074219,2566.169921875,2579.8500976562,4050140000.0
2017-11-03,2581.9299316406,2588.419921875,2576.7700195312,2587.8400878906,3568710000.0
2017-11-06,2587.4699707031,2593.3798828125,2585.6599121094,2591.1298828125,3541970000.0
2017-11-07,2592.1101074219,2597.0200195312,2584.3500976562,2590.6398925781,3815190000.0
2017-11-08,2588.7099609375,2595.4699707031,2585.0200195312,2594.3798828125,3898450000.0
2017-11-09,2584.0,2586.5,2566.330078125,2584.6201171875,3844100000.0
2017-11-10,2580.1799316406,2583.8100585938,2575.5700683594,2582.3000488281,3489740000.0
2017-11-13,2576.5300292969,2587.6599121094,2574.4799804688,2584.8400878906,3405200000.0
2017-11-14,2577.75,2579.6599121094,2566.5600585938,2578.8701171875,3643580000.0
2017-11-15,2569.4499511719,2572.8400878906,2557.4499511719,2564.6201171875,3586590000.0
2017-11-16,2572.9499511719,2590.0900878906,2572.9499511719,2585.6398925781,3329730000.0
2017-11-17,2582.9399414062,2583.9599609375,2577.6201171875,2578.8500976562,3309800000.0
2017-11-20,2579.4899902344,2584.6398925781,2578.2399902344,2582.1398925781,3023940000.0
2017-11-21,2589.169921875,2601.1899414062,2589.169921875,2599.0300292969,3351230000.0
2017-11-22,2600.3100585938,2600.9399414062,2595.2299804688,2597.080078125,2764110000.0
2017-11-24,2600.419921875,2604.2099609375,2600.419921875,2602.419921875,1385890000.0
2017-11-27,2602.6599121094,2606.4099121094,2598.8701171875,2601.419921875,3017720000.0
2017-11-28,2605.9399414062,2627.6899414062,2605.4399414062,2627.0400390625,3493340000.0
2017-11-29,2627.8200683594,2634.8898925781,2620.3200683594,2626.0700683594,4090630000.0
