Date,Open,High,Low,Close,Volume,FearGreed,VIX
2023-09-11,4480.9799804688,4490.7700195312,4467.8901367188,4487.4599609375,3369920000.0,0.6142660147925285,0.9801244230025896
2023-09-12,4473.2700195312,4487.1098632812,4456.830078125,4461.8999023438,3435740000.0,0.6042371818979566,0.9927399143768199
2023-09-13,4462.6499023438,4479.3901367188,4453.5200195312,4467.4399414062,3529430000.0,0.6042371818979566,0.9809759429924485
2023-09-14,4487.7797851562,4511.990234375,4478.6899414062,4505.1000976562,3648720000.0,0.6422213864861477,0.8643267461235916
2023-09-15,4497.9799804688,4497.9799804688,4447.2099609375,4450.3198242188,6932230000.0,0.612134887802432,0.7785257526983009
2023-09-18,4445.1298828125,4466.3598632812,4442.1098632812,4453.5297851562,3161230000.0,0.5802933433621662,0.8292120253483446
2023-09-19,4445.41015625,4449.8500976562,4416.6098632812,4443.9501953125,3614880000.0,0.5859345618653629,1.0367454314749451
2023-09-20,4452.8100585938,4461.0297851562,4401.3798828125,4402.2001953125,3308450000.0,0.5652500940203083,1.2168808900776213
2023-09-21,4374.3598632812,4375.7001953125,4329.169921875,4330.0,3662340000.0,0.42572395637457683,1.5472740306292494
2023-09-22,4341.740234375,4357.3999023438,4316.490234375,4320.0600585938,3349570000.0,0.3755797919017174,1.732703374518373
2023-09-25,4310.6201171875,4338.509765625,4302.7001953125,4337.4399414062,3195650000.0,0.44164472859470977,1.7488838621024991
2023-09-26,4312.8798828125,4313.009765625,4265.9799804688,4273.5297851562,3472340000.0,0.2636329447160587,1.647791594867996
2023-09-27,4282.6298828125,4292.0698242188,4238.6298828125,4274.509765625,3875880000.0,0.24608248715055786,1.5376933385484943
2023-09-28,4269.6499023438,4317.2700195312,4264.3798828125,4299.7001953125,3846230000.0,0.32342986084994363,1.4146851382332628
2023-09-29,4328.1801757812,4333.1499023438,4274.8598632812,4288.0498046875,3865960000.0,0.3159082361790147,1.2074794089872016
2023-10-02,4284.5200195312,4300.580078125,4260.2099609375,4288.3901367188,3938660000.0,0.31477999247837535,1.084360578100807
2023-10-03,4269.75,4281.1499023438,4216.4501953125,4229.4501953125,3953830000.0,0.2172495925786637,1.1188285288451754
2023-10-04,4233.830078125,4268.5,4220.4799804688,4263.75,3777600000.0,0.2230161714930425,1.1136599546416008
2023-10-05,4259.3100585938,4267.1298828125,4225.91015625,4258.1899414062,3581470000.0,0.2147423843550207,1.1439173714526938
2023-10-06,4234.7900390625,4324.1000976562,4219.5498046875,4308.5,3902030000.0,0.3072583678074464,1.0145160365014656
2023-10-09,4289.0200195312,4341.7299804688,4283.7900390625,4335.66015625,3174630000.0,0.3266892315406795,0.9551007716204469
2023-10-10,4339.75,4385.4599609375,4339.6401367188,4358.240234375,3520240000.0,0.36492415695123487,0.9053229417731715
2023-10-11,4366.58984375,4378.6401367188,4345.33984375,4376.9501953125,3601660000.0,0.39037232042121106,0.8611629496618974
2023-10-12,4380.9399414062,4385.8500976562,4325.4301757812,4349.6098632812,3713140000.0,0.407295975930801,0.8130499660111269
2023-10-13,4360.490234375,4377.1000976562,4311.9702148438,4327.7797851562,3566560000.0,0.289206468597217,0.9156412528221173
2023-10-16,4342.3701171875,4383.330078125,4342.3701171875,4373.6298828125,3409960000.0,0.4079227779867118,0.9842650776357915
2023-10-17,4345.2299804688,4393.5698242188,4337.5400390625,4373.2001953125,3794850000.0,0.4505453177886423,1.0851773673657465
2023-10-18,4357.3500976562,4364.2001953125,4303.83984375,4314.6000976562,3686030000.0,0.34311144540554095,1.067601317459805
2023-10-19,4321.3598632812,4339.5400390625,4269.6899414062,4278.0,3969730000.0,0.33019932305377964,1.2445022493537012
2023-10-20,4273.8500976562,4276.5600585938,4223.0297851562,4224.16015625,4004030000.0,0.24645856838410432,1.3582126643631631
2023-10-23,4210.3999023438,4255.83984375,4189.2202148438,4217.0400390625,3776100000.0,0.2838159709163846,1.361241213792325
2023-10-24,4235.7900390625,4259.3798828125,4219.4301757812,4247.6801757812,3821820000.0,0.3797166854707284,1.208368924189087
2023-10-25,4232.419921875,4232.419921875,4181.419921875,4186.7700195312,3869370000.0,0.27591826501190925,1.073605949436682
2023-10-26,4175.990234375,4183.6000976562,4127.8999023438,4137.2299804688,4277640000.0,0.2445781622163721,1.0321208706447458
2023-10-27,4152.9301757812,4156.7001953125,4103.7797851562,4117.3701171875,4019500000.0,0.23078851698633573,1.1025322519086196
2023-10-30,4139.3901367188,4177.4702148438,4132.9399414062,4166.8198242188,3911140000.0,0.3259370690735866,1.0510220965475572
2023-10-31,4171.330078125,4195.5498046875,4153.1201171875,4193.7998046875,4249470000.0,0.33772094772470856,0.9458483845916992
2023-11-01,4201.2700195312,4245.6401367188,4197.740234375,4237.8598632812,4224900000.0,0.36316911119468476,0.7917440806054767
2023-11-02,4268.259765625,4319.7202148438,4268.259765625,4317.7797851562,4669780000.0,0.43236805816723073,0.6705772693719229
2023-11-03,4334.2299804688,4373.6201171875,4334.2299804688,4358.33984375,4570960000.0,0.4125611132004513,0.579582696975298
2023-11-06,4364.2700195312,4372.2099609375,4347.5297851562,4365.9799804688,3656340000.0,0.44766202833145285,0.5250013491211156
2023-11-07,4366.2099609375,4386.259765625,4355.41015625,4378.3798828125,3791230000.0,0.4566879779365676,0.513915019355665
2023-11-08,4384.3701171875,4391.2001953125,4359.759765625,4382.7797851562,3729510000.0,0.45844302369311773,0.5407281747115581
2023-11-09,4391.41015625,4393.3999023438,4343.9399414062,4347.3500976562,3900780000.0,0.47386235426852197,0.6302698425015104
2023-11-10,4364.1499023438,4418.0297851562,4353.33984375,4415.240234375,3665080000.0,0.47962893318290084,0.6883159856416429
2023-11-13,4406.66015625,4421.759765625,4393.8198242188,4411.5498046875,3326240000.0,0.45994734862730347,0.8147100680308746
2023-11-14,4458.9702148438,4508.669921875,4458.9702148438,4495.7001953125,4700350000.0,0.5440641845305253,0.7980023449581303
2023-11-15,4505.2998046875,4521.169921875,4495.3100585938,4502.8798828125,4347170000.0,0.6185282687727216,0.8740121258948966
2023-11-16,4497.080078125,4511.990234375,4487.830078125,4508.240234375,3964520000.0,0.650119092390623,0.8632040782705375
2023-11-17,4509.5498046875,4520.1201171875,4499.66015625,4514.0200195312,3777240000.0,0.6977560486398395,0.8539840025792638
2023-11-20,4511.7001953125,4557.1098632812,4510.3598632812,4547.3798828125,3644790000.0,0.7282186285571016,0.8013467805762736
2023-11-21,4538.7700195312,4542.1401367188,4525.509765625,4538.1899414062,3511080000.0,0.7267143036229159,0.7127523460725106
2023-11-22,4553.0400390625,4568.4301757812,4545.0498046875,4556.6201171875,3042810000.0,0.7754795035727717,0.6193331538851041
2023-11-24,4555.83984375,4560.3100585938,4552.7998046875,4559.33984375,1639500000.0,0.7980443775855585,0.5443621612569653
2023-11-27,4554.8598632812,4560.5200195312,4546.3198242188,4550.4301757812,3403990000.0,0.7786135138523255,0.46413511370116706
2023-11-28,4545.5498046875,4568.1401367188,4540.509765625,4554.8901367188,3586240000.0,0.7758555848063182,0.4920530687047146
2023-11-29,4571.83984375,4587.6401367188,4547.1499023438,4550.580078125,4418760000.0,0.7532907107935314,0.6558148496215893
2023-11-30,4554.8701171875,4569.8901367188,4537.240234375,4567.7998046875,5399300000.0,0.7668296352012035,0.7795906724949647
2023-12-01,4559.4301757812,4599.3901367188,4554.7099609375,4594.6298828125,4397120000.0,0.7685846809577536,0.8795467881433703
2023-12-04,4564.3701171875,4572.3701171875,4546.7202148438,4569.7797851562,4369910000.0,0.7585558480631817,0.9719567555826598
2023-12-05,4557.25,4578.5600585938,4551.6801757812,4567.1801757812,3909950000.0,0.7764823868622289,1.003367143478854
2023-12-06,4586.2299804688,4590.740234375,4546.5,4549.33984375,4245680000.0,0.7618152187539176,1.1624651417394416
2023-12-07,4568.83984375,4590.919921875,4565.2202148438,4585.58984375,3818880000.0,0.7890184279804437,1.1305244808442876
2023-12-08,4576.2001953125,4609.2299804688,4574.0600585938,4604.3701171875,3707010000.0,0.7865112197568008,0.9702013240043477
2023-12-11,4593.3901367188,4623.7099609375,4593.3901367188,4622.4399414062,3823210000.0,0.8034348752663909,0.8577408842041655
2023-12-12,4618.2998046875,4643.9301757812,4608.08984375,4643.7001953125,3808380000.0,0.8109564999373198,0.5480986225184201
2023-12-13,4646.2001953125,4709.6899414062,4643.2299804688,4707.08984375,5063650000.0,0.8065688855459446,0.5357872042596212
2023-12-14,4721.0400390625,4738.5698242188,4694.33984375,4719.5498046875,6314040000.0,0.8441770089005893,0.5015128697261219
2023-12-15,4714.2299804688,4725.5297851562,4704.6899414062,4719.1899414062,8218980000.0,0.8306380844929171,0.6204706700114568
2023-12-18,4725.580078125,4749.5200195312,4725.580078125,4740.5600585938,4060340000.0,0.8435502068446784,0.8479530777539284
2023-12-19,4743.7202148438,4768.6899414062,4743.7202148438,4768.3701171875,4026970000.0,1.0,0.9151329266050275
2023-12-20,4764.7299804688,4778.009765625,4697.8198242188,4698.3500976562,4201320000.0,0.9072332957252099,1.4681439894652752
2023-12-21,4724.2900390625,4748.7099609375,4708.3500976562,4746.75,3431180000.0,0.9251598345242572,1.8224495030354415
2023-12-22,4753.919921875,4772.9399414062,4736.7700195312,4754.6298828125,3046770000.0,0.9595085871881659,1.8727913289456195
2023-12-26,4758.8598632812,4784.7202148438,4758.4501953125,4774.75,2513910000.0,0.9870878776482387,1.540489467261846
2023-12-27,4773.4501953125,4785.3901367188,4768.8999023438,4781.580078125,2748450000.0,0.9774351259872133,1.038726106771571
2023-12-28,4786.4399414062,4793.2998046875,4780.9799804688,4783.3500976562,2698860000.0,0.9785633696878526,0.81138065773031
2023-12-29,4782.8798828125,4788.4301757812,4751.990234375,4769.830078125,3126060000.0,0.9716685470728343,0.6236789531312306
2024-01-02,4745.2001953125,4754.330078125,4722.669921875,4742.830078125,3743050000.0,0.9591325059546195,0.815671222684663
2024-01-03,4725.0698242188,4729.2900390625,4699.7099609375,4704.8100585938,3950760000.0,0.9215243825999748,1.1551432653016895
2024-01-04,4697.419921875,4726.7797851562,4687.5297851562,4688.6801757812,3715480000.0,0.9463457440140404,1.4338780753977844
2024-01-05,4690.5698242188,4721.490234375,4682.1098632812,4697.240234375,3844370000.0,0.9097405039488529,1.5068493250192878
2024-01-08,4703.7001953125,4764.5400390625,4699.8198242188,4763.5400390625,3742320000.0,0.9147549203961389,1.3206046298438217
2024-01-09,4741.9301757812,4765.4702148438,4730.3500976562,4756.5,3529960000.0,0.9087376206593958,0.9783198884717135
2024-01-10,4759.9399414062,4790.7998046875,4756.2001953125,4783.4501953125,3498680000.0,0.917262128619782,0.8194443958734005
2024-01-11,4792.1298828125,4798.5,4739.580078125,4780.240234375,3759890000.0,0.8958254983076344,0.6411323411903432
2024-01-12,4791.1801757812,4802.3999023438,4768.9799804688,4783.830078125,3486340000.0,0.8761439137520372,0.6127449662740228
2024-01-16,4772.3500976562,4782.33984375,4747.1201171875,4765.9799804688,4260550000.0,0.8661150808574652,0.8314991024669333
2024-01-17,4739.1298828125,4744.2299804688,4714.8198242188,4739.2099609375,3928600000.0,0.677071580794785,1.2593078782228437
2024-01-18,4760.1000976562,4785.7900390625,4740.5698242188,4780.9399414062,4019000000.0,0.7930299611382725,1.5632483606203227
2024-01-19,4796.2797851562,4842.0698242188,4785.8701171875,4839.8100585938,4287200000.0,0.8728845430613013,1.5285450639028535
2024-01-22,4853.419921875,4868.41015625,4844.0498046875,4850.4301757812,4297610000.0,0.8732606242948477,1.173184361244841
2024-01-23,4856.7998046875,4866.4799804688,4844.3701171875,4864.6000976562,3912800000.0,0.8406669173874891,0.8363549150269067
2024-01-24,4888.5600585938,4903.6801757812,4865.9399414062,4868.5498046875,4330030000.0,0.8686222890811082,0.7762880405291315
2024-01-25,4886.66015625,4898.1499023438,4869.33984375,4894.16015625,4020430000.0,0.8778989595085872,0.7948204104218781
2024-01-26,4888.91015625,4906.6899414062,4881.4702148438,4890.9702148438,3353400000.0,0.8850445029459696,0.9037037835442525
2024-01-29,4892.9501953125,4929.3100585938,4887.3999023438,4927.9301757812,3525160000.0,0.8889306756926163,0.9469469876693315
2024-01-30,4925.8901367188,4931.08984375,4916.2700195312,4924.9702148438,3836130000.0,0.8904350006268021,0.9491316655930123
2024-01-31,4899.1899414062,4906.75,4845.1499023438,4845.6499023438,4696120000.0,0.7635702645104676,1.2074830728577495
2024-02-01,4861.1098632812,4906.9702148438,4853.5200195312,4906.1899414062,4386090000.0,0.8667418829133761,1.2875351017032763
2024-02-02,4916.0600585938,4975.2900390625,4907.990234375,4958.6098632812,3974350000.0,0.8950733358405415,1.355861444739872
2024-02-05,4957.1899414062,4957.1899414062,4918.08984375,4942.8100585938,4023640000.0,0.8789018427980444,1.178614735814855
2024-02-06,4950.16015625,4957.7700195312,4934.8798828125,4954.2299804688,4440880000.0,0.8775228782750408,0.9821253472293989
2024-02-07,4973.0498046875,4999.8901367188,4969.0498046875,4995.0600585938,4895590000.0,0.8846684217124232,0.796318551224279
2024-02-08,4995.16015625,5000.3999023438,4987.08984375,4997.91015625,4341860000.0,0.8950733358405415,0.6458333805170444
2024-02-09,5004.169921875,5030.0600585938,5000.33984375,5026.6098632812,3912990000.0,0.90547824996866,0.6317804981372291
2024-02-12,5026.830078125,5048.3901367188,5016.830078125,5021.83984375,3805740000.0,0.9104926664159458,0.8479166972274278
2024-02-13,4967.9399414062,4971.2998046875,4920.3100585938,4953.169921875,4302190000.0,0.7965400526513726,1.2819129514489336
2024-02-14,4976.4399414062,5002.5200195312,4956.4501953125,5000.6201171875,3845600000.0,0.8061928043123983,1.540118350079393
2024-02-15,5003.1401367188,5032.7202148438,4999.4399414062,5029.7299804688,4137970000.0,0.8857966654130626,1.5436718704443249
2024-02-16,5031.1298828125,5038.7001953125,4999.5200195312,5005.5698242188,3833270000.0,0.881158330199323,1.231010883015979
2024-02-20,4989.3198242188,4993.7099609375,4955.0200195312,4975.509765625,4034880000.0,0.7589319292967281,1.2939857958999401
2024-02-21,4963.0297851562,4983.2099609375,4946.0,4981.7998046875,3788390000.0,0.7584304876519995,1.3581313629986298
2024-02-22,5038.830078125,5094.3901367188,5038.830078125,5087.0297851562,4051710000.0,0.8867995487025198,1.3048730546329312
